사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자,빈값,,,,,,
20211006,1호선,동대문,10024,9147,20211009,,,,,,,
20211006,1호선,종로5가,20476,20622,20211009,,,,,,,
20211006,1호선,종로3가,23029,21005,20211009,,,,,,,
20211006,1호선,종각,32352,32171,20211009,,,,,,,
20211006,1호선,시청,20478,20865,20211009,,,,,,,
20211006,1호선,동묘앞,6281,6572,20211009,,,,,,,
20211006,1호선,서울역,37866,36336,20211009,,,,,,,
20211007,1호선,청량리(서울시립대입구),18515,18404,20211010,,,,,,,
20211007,1호선,제기동,16043,16245,20211010,,,,,,,
20211007,1호선,신설동,13355,13187,20211010,,,,,,,
20211007,1호선,동대문,10076,9430,20211010,,,,,,,
20211007,1호선,종로5가,21330,21535,20211010,,,,,,,
20211007,1호선,종로3가,24143,21948,20211010,,,,,,,
20211007,1호선,종각,31594,31363,20211010,,,,,,,
20211007,1호선,시청,20188,20451,20211010,,,,,,,
20211007,1호선,동묘앞,7313,7636,20211010,,,,,,,
20211007,1호선,서울역,38769,37270,20211010,,,,,,,
20211008,1호선,동대문,10471,9768,20211011,,,,,,,
20211008,1호선,청량리(서울시립대입구),19098,19011,20211011,,,,,,,
20211008,1호선,제기동,15485,15580,20211011,,,,,,,
20211008,1호선,신설동,13528,13169,20211011,,,,,,,
20211008,1호선,종로5가,21922,21674,20211011,,,,,,,
20211008,1호선,종로3가,24226,22391,20211011,,,,,,,
20211008,1호선,종각,32192,31181,20211011,,,,,,,
20211008,1호선,시청,20502,20836,20211011,,,,,,,
20211008,1호선,동묘앞,6459,6799,20211011,,,,,,,
20211008,1호선,서울역,43942,44407,20211011,,,,,,,
20211009,1호선,서울역,29541,32178,20211012,,,,,,,
20211009,1호선,동묘앞,10903,11375,20211012,,,,,,,
20211009,1호선,시청,9707,10111,20211012,,,,,,,
20211009,1호선,종각,15451,14224,20211012,,,,,,,
20211009,1호선,종로3가,20835,19163,20211012,,,,,,,
20211009,1호선,종로5가,16603,17132,20211012,,,,,,,
20211009,1호선,동대문,9819,9278,20211012,,,,,,,
20211009,1호선,신설동,8232,7724,20211012,,,,,,,
20211009,1호선,제기동,13835,14130,20211012,,,,,,,
20211009,1호선,청량리(서울시립대입구),17068,16888,20211012,,,,,,,
20211010,1호선,청량리(서울시립대입구),11065,11186,20211013,,,,,,,
20211010,1호선,제기동,7522,7654,20211013,,,,,,,
20211010,1호선,신설동,5705,5889,20211013,,,,,,,
20211010,1호선,동대문,7177,7697,20211013,,,,,,,
20211010,1호선,종로5가,8214,8388,20211013,,,,,,,
20211010,1호선,종로3가,12461,11467,20211013,,,,,,,
20211010,1호선,종각,11034,9947,20211013,,,,,,,
20211010,1호선,동묘앞,7693,7815,20211013,,,,,,,
20211010,1호선,서울역,23858,21579,20211013,,,,,,,
20211010,1호선,시청,7214,6993,20211013,,,,,,,
20211011,1호선,동묘앞,8616,9238,20211014,,,,,,,
20211011,1호선,시청,7934,7497,20211014,,,,,,,
20211011,1호선,종각,13580,12459,20211014,,,,,,,
20211011,1호선,종로3가,20320,18336,20211014,,,,,,,
20211011,1호선,종로5가,16763,16762,20211014,,,,,,,
20211011,1호선,동대문,9655,9525,20211014,,,,,,,
20211011,1호선,신설동,7617,7681,20211014,,,,,,,
20211011,1호선,제기동,14278,15039,20211014,,,,,,,
20211011,1호선,청량리(서울시립대입구),15728,15829,20211014,,,,,,,
20211011,1호선,서울역,29518,24798,20211014,,,,,,,
20211012,1호선,서울역,40264,37984,20211015,,,,,,,
20211012,1호선,동묘앞,7688,8036,20211015,,,,,,,
20211012,1호선,시청,20616,21012,20211015,,,,,,,
20211012,1호선,종각,32423,31864,20211015,,,,,,,
20211012,1호선,종로3가,24367,22281,20211015,,,,,,,
20211012,1호선,종로5가,22082,22049,20211015,,,,,,,
20211012,1호선,동대문,10469,9910,20211015,,,,,,,
20211012,1호선,신설동,13501,13261,20211015,,,,,,,
20211012,1호선,제기동,16978,17309,20211015,,,,,,,
20211012,1호선,청량리(서울시립대입구),18936,18902,20211015,,,,,,,
20211013,1호선,청량리(서울시립대입구),19122,19136,20211016,,,,,,,
20211013,1호선,제기동,17173,17527,20211016,,,,,,,
20211013,1호선,신설동,13699,13498,20211016,,,,,,,
20211013,1호선,동대문,10677,10113,20211016,,,,,,,
20211013,1호선,종로5가,21751,21714,20211016,,,,,,,
20211013,1호선,종로3가,24819,22649,20211016,,,,,,,
20211013,1호선,종각,32796,32426,20211016,,,,,,,
20211013,1호선,시청,21107,21471,20211016,,,,,,,
20211013,1호선,동묘앞,8097,8210,20211016,,,,,,,
20211013,1호선,서울역,39952,38833,20211016,,,,,,,
20211014,1호선,청량리(서울시립대입구),19435,19393,20211017,,,,,,,
20211014,1호선,제기동,17266,17833,20211017,,,,,,,
20211014,1호선,신설동,13761,13416,20211017,,,,,,,
20211014,1호선,동대문,10536,10039,20211017,,,,,,,
20211014,1호선,종로5가,21887,21762,20211017,,,,,,,
20211014,1호선,종로3가,24944,22616,20211017,,,,,,,
20211014,1호선,종각,32303,31847,20211017,,,,,,,
20211014,1호선,시청,21090,21343,20211017,,,,,,,
20211014,1호선,동묘앞,8120,8447,20211017,,,,,,,
20211014,1호선,서울역,40207,38422,20211017,,,,,,,
20211015,1호선,서울역,43300,41779,20211018,,,,,,,
20211015,1호선,동묘앞,7905,8343,20211018,,,,,,,
20211015,1호선,시청,20751,20956,20211018,,,,,,,
20211015,1호선,종각,31932,31322,20211018,,,,,,,
20211015,1호선,종로3가,25479,23334,20211018,,,,,,,
20211015,1호선,종로5가,21754,22071,20211018,,,,,,,
20211015,1호선,동대문,10817,10047,20211018,,,,,,,
20211015,1호선,신설동,13870,13516,20211018,,,,,,,
20211015,1호선,제기동,17051,17262,20211018,,,,,,,
20211015,1호선,청량리(서울시립대입구),19705,19586,20211018,,,,,,,
20211016,1호선,신설동,9232,8885,20211019,,,,,,,
20211016,1호선,서울역,29661,30451,20211019,,,,,,,
20211016,1호선,동묘앞,11113,11496,20211019,,,,,,,
20211016,1호선,시청,10127,10793,20211019,,,,,,,
20211016,1호선,종각,17400,16078,20211019,,,,,,,
20211016,1호선,종로3가,21077,20260,20211019,,,,,,,
20211016,1호선,종로5가,18633,18048,20211019,,,,,,,
20211016,1호선,동대문,10521,9715,20211019,,,,,,,
20211016,1호선,제기동,14738,15329,20211019,,,,,,,
20211016,1호선,청량리(서울시립대입구),17506,17725,20211019,,,,,,,
20211017,1호선,시청,6944,6625,20211020,,,,,,,
20211017,1호선,신설동,6801,6696,20211020,,,,,,,
20211017,1호선,제기동,8639,8994,20211020,,,,,,,
20211017,1호선,청량리(서울시립대입구),11512,11836,20211020,,,,,,,
20211017,1호선,서울역,25130,22780,20211020,,,,,,,
20211017,1호선,동묘앞,11641,11967,20211020,,,,,,,
20211017,1호선,종각,11095,9753,20211020,,,,,,,
20211017,1호선,종로3가,12433,11082,20211020,,,,,,,
20211017,1호선,종로5가,7956,7883,20211020,,,,,,,
20211017,1호선,동대문,8531,9048,20211020,,,,,,,
20211018,1호선,서울역,39339,37824,20211021,,,,,,,
20211018,1호선,동묘앞,7249,7652,20211021,,,,,,,
20211018,1호선,시청,19873,20121,20211021,,,,,,,
20211018,1호선,종각,32665,31533,20211021,,,,,,,
20211018,1호선,종로3가,22903,21086,20211021,,,,,,,
20211018,1호선,종로5가,20834,20564,20211021,,,,,,,
20211018,1호선,동대문,10378,9880,20211021,,,,,,,
20211018,1호선,신설동,13482,13140,20211021,,,,,,,
20211018,1호선,제기동,16436,16970,20211021,,,,,,,
20211018,1호선,청량리(서울시립대입구),18493,18796,20211021,,,,,,,
20211019,1호선,서울역,39026,37067,20211022,,,,,,,
20211019,1호선,동묘앞,7734,8161,20211022,,,,,,,
20211019,1호선,시청,20659,20993,20211022,,,,,,,
20211019,1호선,종각,32486,31982,20211022,,,,,,,
20211019,1호선,종로3가,23900,21863,20211022,,,,,,,
20211019,1호선,종로5가,21571,21209,20211022,,,,,,,
20211019,1호선,동대문,10592,9943,20211022,,,,,,,
20211019,1호선,신설동,13261,12963,20211022,,,,,,,
20211019,1호선,제기동,16508,17122,20211022,,,,,,,
20211019,1호선,청량리(서울시립대입구),18676,18657,20211022,,,,,,,
20211020,1호선,서울역,43293,41247,20211023,,,,,,,
20211020,1호선,동묘앞,8319,8670,20211023,,,,,,,
20211020,1호선,시청,19937,20529,20211023,,,,,,,
20211020,1호선,종각,31637,30615,20211023,,,,,,,
20211020,1호선,종로3가,27309,27008,20211023,,,,,,,
20211020,1호선,종로5가,22583,22158,20211023,,,,,,,
20211020,1호선,동대문,11225,10411,20211023,,,,,,,
20211020,1호선,신설동,14040,13718,20211023,,,,,,,
20211020,1호선,제기동,17104,17372,20211023,,,,,,,
20211020,1호선,청량리(서울시립대입구),19732,19665,20211023,,,,,,,
20211021,1호선,서울역,41035,39463,20211024,,,,,,,
20211021,1호선,동묘앞,8170,8579,20211024,,,,,,,
20211021,1호선,시청,21295,21595,20211024,,,,,,,
20211021,1호선,종각,33228,32436,20211024,,,,,,,
20211021,1호선,종로3가,25155,22670,20211024,,,,,,,
20211021,1호선,종로5가,22120,21975,20211024,,,,,,,
20211021,1호선,동대문,10749,10315,20211024,,,,,,,
20211021,1호선,신설동,13638,13487,20211024,,,,,,,
20211021,1호선,제기동,17331,17780,20211024,,,,,,,
20211021,1호선,청량리(서울시립대입구),20069,19907,20211024,,,,,,,
20211022,1호선,동묘앞,8572,8930,20211025,,,,,,,
20211022,1호선,서울역,45729,44341,20211025,,,,,,,
20211022,1호선,시청,21277,21432,20211025,,,,,,,
20211022,1호선,종각,33403,32642,20211025,,,,,,,
20211022,1호선,종로3가,26666,24135,20211025,,,,,,,
20211022,1호선,종로5가,22956,22675,20211025,,,,,,,
20211022,1호선,동대문,11342,10632,20211025,,,,,,,
20211022,1호선,신설동,14032,13482,20211025,,,,,,,
20211022,1호선,제기동,17768,18011,20211025,,,,,,,
20211022,1호선,청량리(서울시립대입구),20630,21140,20211025,,,,,,,
20211023,1호선,청량리(서울시립대입구),18390,18557,20211026,,,,,,,
20211023,1호선,제기동,15448,15893,20211026,,,,,,,
20211023,1호선,신설동,9326,8898,20211026,,,,,,,
20211023,1호선,동대문,10697,10207,20211026,,,,,,,
20211023,1호선,종로5가,18293,18518,20211026,,,,,,,
20211023,1호선,종로3가,23230,21555,20211026,,,,,,,
20211023,1호선,시청,10925,11168,20211026,,,,,,,
20211023,1호선,동묘앞,11985,12393,20211026,,,,,,,
20211023,1호선,서울역,31208,31936,20211026,,,,,,,
20211023,1호선,종각,18820,16799,20211026,,,,,,,
20211024,1호선,서울역,26214,23809,20211027,,,,,,,
20211024,1호선,동묘앞,13042,13347,20211027,,,,,,,
20211024,1호선,시청,8144,7899,20211027,,,,,,,
20211024,1호선,종각,12329,10701,20211027,,,,,,,
20211024,1호선,종로3가,14155,12196,20211027,,,,,,,
20211024,1호선,종로5가,8873,8917,20211027,,,,,,,
20211024,1호선,동대문,9513,10138,20211027,,,,,,,
20211024,1호선,신설동,7351,7372,20211027,,,,,,,
20211024,1호선,제기동,9856,10339,20211027,,,,,,,
20211024,1호선,청량리(서울시립대입구),12880,13105,20211027,,,,,,,
20211025,1호선,종각,33314,32699,20211028,,,,,,,
20211025,1호선,종로3가,24366,22384,20211028,,,,,,,
20211025,1호선,종로5가,21892,21538,20211028,,,,,,,
20211025,1호선,동대문,10913,10412,20211028,,,,,,,
20211025,1호선,서울역,41620,39523,20211028,,,,,,,
20211025,1호선,동묘앞,7734,8104,20211028,,,,,,,
20211025,1호선,시청,21290,21477,20211028,,,,,,,
20211025,1호선,신설동,13820,13688,20211028,,,,,,,
20211025,1호선,제기동,17692,18270,20211028,,,,,,,
20211025,1호선,청량리(서울시립대입구),20021,20174,20211028,,,,,,,
20211026,1호선,청량리(서울시립대입구),20112,20337,20211029,,,,,,,
20211026,1호선,제기동,18100,18649,20211029,,,,,,,
20211026,1호선,신설동,13682,13531,20211029,,,,,,,
20211026,1호선,동대문,11018,10387,20211029,,,,,,,
20211026,1호선,종로5가,22206,22028,20211029,,,,,,,
20211026,1호선,종로3가,25426,23018,20211029,,,,,,,
20211026,1호선,종각,34203,33279,20211029,,,,,,,
20211026,1호선,시청,22611,23003,20211029,,,,,,,
20211026,1호선,동묘앞,8239,8657,20211029,,,,,,,
20211026,1호선,서울역,41639,39712,20211029,,,,,,,
20211027,1호선,청량리(서울시립대입구),19841,20202,20211030,,,,,,,
20211027,1호선,제기동,17598,18048,20211030,,,,,,,
20211027,1호선,신설동,14086,13638,20211030,,,,,,,
20211027,1호선,동대문,10980,10401,20211030,,,,,,,
20211027,1호선,종로5가,22042,21708,20211030,,,,,,,
20211027,1호선,종로3가,25437,22999,20211030,,,,,,,
20211027,1호선,종각,34792,34008,20211030,,,,,,,
20211027,1호선,시청,22052,22360,20211030,,,,,,,
20211027,1호선,동묘앞,8346,8550,20211030,,,,,,,
20211027,1호선,서울역,42450,40698,20211030,,,,,,,
20211028,1호선,청량리(서울시립대입구),19827,19933,20211031,,,,,,,
20211028,1호선,제기동,18117,18343,20211031,,,,,,,
20211028,1호선,신설동,14047,13767,20211031,,,,,,,
20211028,1호선,동대문,10920,10329,20211031,,,,,,,
20211028,1호선,종로5가,22643,22401,20211031,,,,,,,
20211028,1호선,종로3가,25563,22696,20211031,,,,,,,
20211028,1호선,종각,34136,33340,20211031,,,,,,,
20211028,1호선,시청,22222,22632,20211031,,,,,,,
20211028,1호선,동묘앞,8387,8794,20211031,,,,,,,
20211028,1호선,서울역,42809,41102,20211031,,,,,,,
20211029,1호선,청량리(서울시립대입구),20688,20914,20211101,,,,,,,
20211029,1호선,제기동,17979,18287,20211101,,,,,,,
20211029,1호선,신설동,14038,13680,20211101,,,,,,,
20211029,1호선,동대문,11296,10802,20211101,,,,,,,
20211029,1호선,종로5가,22946,23051,20211101,,,,,,,
20211029,1호선,종로3가,26725,24262,20211101,,,,,,,
20211029,1호선,종각,34285,33467,20211101,,,,,,,
20211029,1호선,시청,22529,23199,20211101,,,,,,,
20211029,1호선,동묘앞,8546,9028,20211101,,,,,,,
20211029,1호선,서울역,47574,46331,20211101,,,,,,,
20211030,1호선,청량리(서울시립대입구),18195,18692,20211102,,,,,,,
20211030,1호선,제기동,15069,15480,20211102,,,,,,,
20211030,1호선,신설동,9538,9187,20211102,,,,,,,
20211030,1호선,동대문,10856,10139,20211102,,,,,,,
20211030,1호선,종로5가,18610,18802,20211102,,,,,,,
20211030,1호선,종로3가,23632,21596,20211102,,,,,,,
20211030,1호선,종각,19327,17398,20211102,,,,,,,
20211030,1호선,시청,12330,12974,20211102,,,,,,,
20211030,1호선,동묘앞,11568,11989,20211102,,,,,,,
20211030,1호선,서울역,32921,33877,20211102,,,,,,,
20211031,1호선,동대문,9483,10138,20211103,,,,,,,
20211031,1호선,종로5가,9155,9140,20211103,,,,,,,
20211031,1호선,종로3가,15499,13106,20211103,,,,,,,
20211031,1호선,종각,13598,11352,20211103,,,,,,,
20211031,1호선,시청,9057,9095,20211103,,,,,,,
20211031,1호선,동묘앞,13055,13513,20211103,,,,,,,
20211031,1호선,서울역,29039,26889,20211103,,,,,,,
20211031,1호선,청량리(서울시립대입구),13011,13412,20211103,,,,,,,
20211031,1호선,제기동,9959,10367,20211103,,,,,,,
20211031,1호선,신설동,7677,7353,20211103,,,,,,,
20211001,2호선,용답,2703,2611,20211004,,,,,,,
20211001,2호선,시청,21839,20808,20211004,,,,,,,
20211001,2호선,을지로입구,35479,36050,20211004,,,,,,,
20211001,2호선,을지로3가,20859,20761,20211004,,,,,,,
20211001,2호선,을지로4가,12375,12153,20211004,,,,,,,
20211001,2호선,동대문역사문화공원(DDP),11460,12798,20211004,,,,,,,
20211001,2호선,신당,13564,13932,20211004,,,,,,,
20211001,2호선,상왕십리,14061,13678,20211004,,,,,,,
20211001,2호선,왕십리(성동구청),15739,12617,20211004,,,,,,,
20211001,2호선,한양대,6832,7191,20211004,,,,,,,
20211001,2호선,뚝섬,21355,23118,20211004,,,,,,,
20211001,2호선,성수,34881,38454,20211004,,,,,,,
20211001,2호선,건대입구,33257,35353,20211004,,,,,,,
20211001,2호선,구의(광진구청),23096,22683,20211004,,,,,,,
20211001,2호선,강변(동서울터미널),30232,29989,20211004,,,,,,,
20211001,2호선,잠실나루,14389,13853,20211004,,,,,,,
20211001,2호선,잠실(송파구청),63437,63001,20211004,,,,,,,
20211001,2호선,잠실새내,20700,20774,20211004,,,,,,,
20211001,2호선,종합운동장,6894,7434,20211004,,,,,,,
20211001,2호선,삼성(무역센터),47548,47755,20211004,,,,,,,
20211001,2호선,선릉,53083,47437,20211004,,,,,,,
20211001,2호선,역삼,47366,52544,20211004,,,,,,,
20211001,2호선,강남,80219,78259,20211004,,,,,,,
20211001,2호선,교대(법원.검찰청),32851,37304,20211004,,,,,,,
20211001,2호선,서초,20849,20277,20211004,,,,,,,
20211001,2호선,방배,16790,17642,20211004,,,,,,,
20211001,2호선,사당,35093,37797,20211004,,,,,,,
20211001,2호선,낙성대(강감찬),27342,25648,20211004,,,,,,,
20211001,2호선,서울대입구(관악구청),47082,45478,20211004,,,,,,,
20211001,2호선,봉천,23296,21497,20211004,,,,,,,
20211001,2호선,신림,61374,59294,20211004,,,,,,,
20211001,2호선,신대방,25411,24561,20211004,,,,,,,
20211001,2호선,구로디지털단지,57415,57502,20211004,,,,,,,
20211001,2호선,대림(구로구청),22951,23901,20211004,,,,,,,
20211001,2호선,신도림,46173,45200,20211004,,,,,,,
20211001,2호선,문래,20560,21049,20211004,,,,,,,
20211001,2호선,영등포구청,22612,22746,20211004,,,,,,,
20211001,2호선,당산,18104,21150,20211004,,,,,,,
20211001,2호선,합정,30330,31974,20211004,,,,,,,
20211001,2호선,홍대입구,50464,52404,20211004,,,,,,,
20211001,2호선,신촌,32752,33578,20211004,,,,,,,
20211001,2호선,이대,13400,13985,20211004,,,,,,,
20211001,2호선,아현,10676,10140,20211004,,,,,,,
20211001,2호선,충정로(경기대입구),9580,10184,20211004,,,,,,,
20211001,2호선,신답,1683,1866,20211004,,,,,,,
20211001,2호선,신설동,3066,3021,20211004,,,,,,,
20211001,2호선,도림천,1353,1391,20211004,,,,,,,
20211001,2호선,양천구청,6523,6998,20211004,,,,,,,
20211001,2호선,신정네거리,10067,10615,20211004,,,,,,,
20211001,2호선,용두(동대문구청),2288,2310,20211004,,,,,,,
20211002,2호선,시청,7812,6978,20211005,,,,,,,
20211002,2호선,을지로입구,18022,18359,20211005,,,,,,,
20211002,2호선,을지로4가,6460,6804,20211005,,,,,,,
20211002,2호선,동대문역사문화공원(DDP),9000,9676,20211005,,,,,,,
20211002,2호선,신당,9886,10173,20211005,,,,,,,
20211002,2호선,상왕십리,9038,8355,20211005,,,,,,,
20211002,2호선,왕십리(성동구청),12143,10102,20211005,,,,,,,
20211002,2호선,한양대,3596,3643,20211005,,,,,,,
20211002,2호선,뚝섬,13181,13457,20211005,,,,,,,
20211002,2호선,성수,16352,19083,20211005,,,,,,,
20211002,2호선,건대입구,29741,31568,20211005,,,,,,,
20211002,2호선,구의(광진구청),14679,14313,20211005,,,,,,,
20211002,2호선,강변(동서울터미널),23646,25858,20211005,,,,,,,
20211002,2호선,잠실나루,7779,7590,20211005,,,,,,,
20211002,2호선,잠실(송파구청),55475,52828,20211005,,,,,,,
20211002,2호선,잠실새내,14971,15438,20211005,,,,,,,
20211002,2호선,종합운동장,4486,4839,20211005,,,,,,,
20211002,2호선,삼성(무역센터),24033,24203,20211005,,,,,,,
20211002,2호선,선릉,21747,19225,20211005,,,,,,,
20211002,2호선,역삼,16342,18020,20211005,,,,,,,
20211002,2호선,강남,52868,52299,20211005,,,,,,,
20211002,2호선,교대(법원.검찰청),15617,17476,20211005,,,,,,,
20211002,2호선,서초,9207,8137,20211005,,,,,,,
20211002,2호선,방배,9073,9164,20211005,,,,,,,
20211002,2호선,사당,26401,29341,20211005,,,,,,,
20211002,2호선,낙성대(강감찬),19877,18103,20211005,,,,,,,
20211002,2호선,서울대입구(관악구청),35053,33356,20211005,,,,,,,
20211002,2호선,봉천,15681,14162,20211005,,,,,,,
20211002,2호선,신림,45477,43500,20211005,,,,,,,
20211002,2호선,신대방,18334,17507,20211005,,,,,,,
20211002,2호선,구로디지털단지,30413,29820,20211005,,,,,,,
20211002,2호선,대림(구로구청),16630,17460,20211005,,,,,,,
20211002,2호선,신도림,35293,35479,20211005,,,,,,,
20211002,2호선,문래,11147,11563,20211005,,,,,,,
20211002,2호선,영등포구청,11926,12283,20211005,,,,,,,
20211002,2호선,당산,11925,12799,20211005,,,,,,,
20211002,2호선,합정,24937,27274,20211005,,,,,,,
20211002,2호선,홍대입구,52207,55757,20211005,,,,,,,
20211002,2호선,신촌,38019,36582,20211005,,,,,,,
20211002,2호선,이대,9963,9748,20211005,,,,,,,
20211002,2호선,아현,7177,6549,20211005,,,,,,,
20211002,2호선,충정로(경기대입구),5192,5483,20211005,,,,,,,
20211002,2호선,용답,1993,1891,20211005,,,,,,,
20211002,2호선,신답,937,958,20211005,,,,,,,
20211002,2호선,신설동,2861,2699,20211005,,,,,,,
20211002,2호선,도림천,742,689,20211005,,,,,,,
20211002,2호선,양천구청,4785,4795,20211005,,,,,,,
20211002,2호선,신정네거리,6867,6769,20211005,,,,,,,
20211002,2호선,용두(동대문구청),1556,1479,20211005,,,,,,,
20211002,2호선,을지로3가,9389,9235,20211005,,,,,,,
20211003,2호선,시청,5607,4850,20211006,,,,,,,
20211003,2호선,을지로입구,13897,13430,20211006,,,,,,,
20211003,2호선,을지로3가,7250,6839,20211006,,,,,,,
20211003,2호선,을지로4가,3042,3069,20211006,,,,,,,
20211003,2호선,동대문역사문화공원(DDP),6763,8455,20211006,,,,,,,
20211003,2호선,신당,7664,8213,20211006,,,,,,,
20211003,2호선,상왕십리,6438,6235,20211006,,,,,,,
20211003,2호선,왕십리(성동구청),8582,7411,20211006,,,,,,,
20211003,2호선,한양대,3021,3253,20211006,,,,,,,
20211003,2호선,뚝섬,10729,11125,20211006,,,,,,,
20211003,2호선,성수,12465,14438,20211006,,,,,,,
20211003,2호선,건대입구,24060,25448,20211006,,,,,,,
20211003,2호선,구의(광진구청),10541,10360,20211006,,,,,,,
20211003,2호선,강변(동서울터미널),18561,18093,20211006,,,,,,,
20211003,2호선,잠실나루,4769,4808,20211006,,,,,,,
20211003,2호선,잠실(송파구청),43771,41039,20211006,,,,,,,
20211003,2호선,잠실새내,10011,10379,20211006,,,,,,,
20211003,2호선,종합운동장,3331,3547,20211006,,,,,,,
20211003,2호선,삼성(무역센터),17700,17790,20211006,,,,,,,
20211003,2호선,선릉,11844,10180,20211006,,,,,,,
20211003,2호선,역삼,9751,10616,20211006,,,,,,,
20211003,2호선,강남,31137,30519,20211006,,,,,,,
20211003,2호선,교대(법원.검찰청),9242,10128,20211006,,,,,,,
20211003,2호선,서초,8566,7832,20211006,,,,,,,
20211003,2호선,방배,6151,6346,20211006,,,,,,,
20211003,2호선,사당,19747,21945,20211006,,,,,,,
20211003,2호선,낙성대(강감찬),14970,14264,20211006,,,,,,,
20211003,2호선,서울대입구(관악구청),25883,26117,20211006,,,,,,,
20211003,2호선,봉천,11259,10700,20211006,,,,,,,
20211003,2호선,신림,34598,33214,20211006,,,,,,,
20211003,2호선,신대방,13985,13749,20211006,,,,,,,
20211003,2호선,구로디지털단지,21505,20876,20211006,,,,,,,
20211003,2호선,대림(구로구청),13244,13400,20211006,,,,,,,
20211003,2호선,신도림,26085,25984,20211006,,,,,,,
20211003,2호선,문래,7581,8179,20211006,,,,,,,
20211003,2호선,영등포구청,7931,8149,20211006,,,,,,,
20211003,2호선,당산,8645,9450,20211006,,,,,,,
20211003,2호선,합정,19629,20971,20211006,,,,,,,
20211003,2호선,홍대입구,43475,44586,20211006,,,,,,,
20211003,2호선,신촌,21345,21139,20211006,,,,,,,
20211003,2호선,이대,6324,6792,20211006,,,,,,,
20211003,2호선,아현,4877,4701,20211006,,,,,,,
20211003,2호선,충정로(경기대입구),3476,3581,20211006,,,,,,,
20211003,2호선,용답,1568,1537,20211006,,,,,,,
20211003,2호선,신답,715,745,20211006,,,,,,,
20211003,2호선,신설동,2636,2710,20211006,,,,,,,
20211003,2호선,도림천,417,429,20211006,,,,,,,
20211003,2호선,양천구청,3326,3375,20211006,,,,,,,
20211003,2호선,신정네거리,4760,4826,20211006,,,,,,,
20211003,2호선,용두(동대문구청),1084,1021,20211006,,,,,,,
